"filename", "language", "JSON with Comments", "Python", "JSON", "PowerShell", "HTML", "Markdown", "TypeScript", "PostCSS", "Ini", "JavaScript", "comment", "blank", "total"
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\bases\base_reconstruction_manifest.json", "JSON", 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 167
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\bases\desktop.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\battlefield_panel\README.md", "Markdown", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 12, 38
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\battlefield_panel\atlas\hud_atlas.json", "JSON", 0, 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 1, 253
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\battlefield_panel\atlas\intro_atlas.json", "JSON", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 1, 160
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\battlefield_panel\atlas\messages_atlas.json", "JSON", 0, 0, 529, 0, 0, 0, 0, 0, 0, 0, 0, 1, 530
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\battlefield_panel\config\atlas_manifest.json", "JSON", 0, 0, 386, 0, 0, 0, 0, 0, 0, 0, 0, 1, 387
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\battlefield_panel\config\dynamic_text_fields.json", "JSON", 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 1, 187
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\battlefield_panel\config\non_bitmap_components.json", "JSON", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\battlefield_panel\config\panel_layout.json", "JSON", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 1, 108
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\battlefield_panel\config\validation_report.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\desktop.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\effect\runtime\CODEX_IMPLEMENTATION_SPEC.md", "Markdown", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 20, 69
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\effect\runtime\README.md", "Markdown", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 10, 29
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\effect\runtime\action_effect_map.json", "JSON", 0, 0, 1559, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1560
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\effect\runtime\effect_atlas.json", "JSON", 0, 0, 2300, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2301
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\effect\runtime\effect_sequences.json", "JSON", 0, 0, 15265, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15266
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\effect\runtime\validation_report.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\map_ui\atlas\battle_intro_atlas.json", "JSON", 0, 0, 248, 0, 0, 0, 0, 0, 0, 0, 0, 1, 249
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\map_ui\atlas\map_ui_atlas.json", "JSON", 0, 0, 1467, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1468
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\map_ui\config\intro_timeline.json", "JSON", 0, 0, 422, 0, 0, 0, 0, 0, 0, 0, 0, 1, 423
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\map_ui\config\map_cells.json", "JSON", 0, 0, 7666, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7667
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\map_ui\config\map_ui_manifest.json", "JSON", 0, 0, 293, 0, 0, 0, 0, 0, 0, 0, 0, 1, 294
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\map_ui\config\transition_contract.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\jingc\Documents\戦国じゃんぶる\desktop.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\jingc\Documents\戦国じゃんぶる\dist\assets\index-DHhVmyNq.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 5, 109
"c:\Users\jingc\Documents\戦国じゃんぶる\dist\assets\index-vPGQ26JI.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\jingc\Documents\戦国じゃんぶる\dist\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\jingc\Documents\戦国じゃんぶる\index.html", "HTML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\jingc\Documents\戦国じゃんぶる\package-lock.json", "JSON", 0, 0, 1679, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1680
"c:\Users\jingc\Documents\戦国じゃんぶる\package.json", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\jingc\Documents\戦国じゃんぶる\preview.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 6, 63
"c:\Users\jingc\Documents\戦国じゃんぶる\preview.html", "HTML", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 6, 112
"c:\Users\jingc\Documents\戦国じゃんぶる\preview.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 417, 0, 43, 460
"c:\Users\jingc\Documents\戦国じゃんぶる\sprite-config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 3, 30
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\BattleScene.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 857, 0, 0, 0, 1, 33, 891
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\battlefieldLayout.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 8, 13, 98
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 251, 0, 0, 0, 11, 32, 294
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\entities\Soldier.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 2, 82
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\factories\createArmy.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 4, 104
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\map\mapTransitionState.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 12, 53
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\map\mapUiAssets.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 13, 113
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\map\mapUiModel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 17, 178
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\actionEffectPolicy.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 6, 43
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\actionEffectPolicy.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 9, 50
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\battleEffectRenderer.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 8, 89
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\battleEffectRenderer.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 12, 171
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\battlePanelAssets.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 6, 44
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\battlePanelAssets.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 1, 19, 150
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\battlePanelModel.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 5, 65
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\battlePanelModel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 11, 159
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\battlePanelUi.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 384, 0, 0, 0, 3, 45, 432
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\battleUiTimeline.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 6, 51
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\battleUiTimeline.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 5, 20, 175
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\battlefieldAssets.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 2, 45
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\characterSprite.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 13, 167
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\characterSprite.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 239, 0, 0, 0, 0, 23, 262
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\crossFenceRenderer.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\effectManifest.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 9, 95
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\effectManifest.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 191, 0, 0, 0, 0, 32, 223
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\effectTimeline.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 6, 50
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\effectTimeline.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 8, 78
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\stats\archerStats.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\stats\ashigaruStats.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\stats\cavalryStats.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\stats\generalStats.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\stats\mosaStats.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\stats\ninjaStats.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\stats\soldierStats.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 7, 36
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\stats\strategistStats.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\aiSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 19, 163
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\armySetupSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 2, 53
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\arrowAttackSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 3, 129
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\attackRuntime.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\attackSystem.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 223, 0, 0, 0, 0, 23, 246
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\attackSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 1, 13, 133
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\baseAttackBounceSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\baseGateRecoveryGeometry.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 10, 118
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\baseSystem.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 1, 20, 180
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\baseSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 10, 91
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\battlefieldGeometry.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 19, 133
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\bombardmentEffectSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\cameraSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 10, 71
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\cavalryChargeSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 2, 64
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\combatSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 1, 4, 44
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\combatTargetSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\commandSystem.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 11, 113
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\commandSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 1, 14, 109
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\confusionSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\damageComponentSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
