efm,slot,index,name,world_x,world_y,class_code,class_name,strategy_raw,strategy_name,combat_pw,defense_df,skill_kp,hp_mp,foot_s,technique_code,technique_name,special_codes_raw,missing_direct_assignments
98,m30,0,国友藤兵衛,1329,576,6,鉄砲,3,守備,54,62,89,35,2,5,狙撃,s2s3s5s19s9s13s28s,
99,m30,0,姉小路頼綱,1437,576,5,軍師,8,迎撃,65,71,72,35,3,19,虚報,s1s2s3s19s13s15s,
100,m30,0,筒井順慶,1437,576,3,武将,3,守備,69,73,65,54,3,14,号令,s1s2s3s22s,
100,m31,1,島左近,1149,576,3,武将,8,迎撃,110,85,72,83,4,22,豪傑,s1s2s3s4s7s10s11s19s9s13s20s26s,
101,m30,0,九鬼嘉隆,1473,576,3,武将,3,守備,82,76,89,70,4,14,号令,s1s2s3s4s7s10s9s13s15s17s21s26s,
101,m31,1,九鬼守隆,1221,576,3,武将,1,突撃,72,64,71,50,3,14,号令,s1s2s7s9s17s,
102,m30,0,松永久秀,1473,576,5,軍師,3,守備,34,56,92,74,3,18,妖術,s2s3s11s19s12s20s17s22s27s,
102,m31,1,松永久通,1293,720,3,武将,8,迎撃,56,58,64,48,3,14,号令,s2s3s20s,
102,m32,2,果心居士,1257,576,7,忍者,8,迎撃,79,84,90,55,6,20,幻術,s1s3s4s19s22s27s,
102,m33,3,高山友照,1293,432,3,武将,8,迎撃,66,68,64,58,4,14,号令,s1s2s3s13s15s16s,
103,m30,0,藤林長門,1437,576,7,忍者,8,迎撃,89,89,91,65,5,13,影走,s1s2s3s10s11s19s13s15s17s28s,
104,m30,0,百地丹波,1437,576,7,忍者,8,迎撃,92,118,81,65,5,27,結界,s1s2s3s10s11s19s13s9s15s16s28s,
104,m31,1,石川五右衛門,1221,576,4,猛者,1,突撃,89,75,95,75,6,23,無双,s8s17s22s29s,
105,m30,0,風魔小太郎,1437,576,7,忍者,8,迎撃,120,120,78,75,5,27,結界,s1s2s3s7s8s10s11s19s13s15s16s18s22s21s26s,
106,m30,0,雑賀孫一,1329,576,6,鉄砲,3,守備,91,82,125,71,5,17,砲撃,s1s2s3s4s5s10s11s15s16s19s21s26s,
106,m31,1,鈴木佐大夫,1257,468,3,武将,3,守備,89,81,78,71,4,14,号令,s1s2s3s11s9s13s15s18s,
106,m32,2,鈴木重朝,1257,648,3,武将,3,守備,69,79,79,69,4,14,号令,s1s2s3s13s14s16s18s,
107,m30,0,稲富祐直,1329,576,6,鉄砲,3,守備,69,71,89,45,2,5,狙撃,s2s3s5s19s9s13s21s28s,
