stage_name,map_key,level,efm,slot,index,name,class_name,strategy_name,world_x,world_y,combat_pw,defense_df,skill_kp,hp_mp,foot_s,technique_code,technique_name,special_codes_raw,missing_direct_assignments
国友鉄砲隊,x11y4,3,98,m30,0,国友藤兵衛,鉄砲,守備,1329,576,54,62,89,35,2,5,狙撃,s2s3s5s19s9s13s28s,
姉小路頼綱軍,x15y3,2,99,m30,0,姉小路頼綱,軍師,迎撃,1437,576,65,71,72,35,3,19,虚報,s1s2s3s19s13s15s,
筒井順慶軍,x4y10,2,100,m30,0,筒井順慶,武将,守備,1437,576,69,73,65,54,3,14,号令,s1s2s3s22s,
筒井順慶軍,x4y10,2,100,m31,1,島左近,武将,迎撃,1149,576,110,85,72,83,4,22,豪傑,s1s2s3s4s7s10s11s19s9s13s20s26s,
九鬼水軍,x9y15,2,101,m30,0,九鬼嘉隆,武将,守備,1473,576,82,76,89,70,4,14,号令,s1s2s3s4s7s10s9s13s15s17s21s26s,
九鬼水軍,x9y15,2,101,m31,1,九鬼守隆,武将,突撃,1221,576,72,64,71,50,3,14,号令,s1s2s7s9s17s,
松永久秀軍,x4y12,5,102,m30,0,松永久秀,軍師,守備,1473,576,34,56,92,74,3,18,妖術,s2s3s11s19s12s20s17s22s27s,
松永久秀軍,x4y12,5,102,m31,1,松永久通,武将,迎撃,1293,720,56,58,64,48,3,14,号令,s2s3s20s,
松永久秀軍,x4y12,5,102,m32,2,果心居士,忍者,迎撃,1257,576,79,84,90,55,6,20,幻術,s1s3s4s19s22s27s,
松永久秀軍,x4y12,5,102,m33,3,高山友照,武将,迎撃,1293,432,66,68,64,58,4,14,号令,s1s2s3s13s15s16s,
伊賀藤林忍軍,x6y11,2,103,m30,0,藤林長門,忍者,迎撃,1437,576,89,89,91,65,5,13,影走,s1s2s3s10s11s19s13s15s17s28s,
伊賀百地忍軍,x6y10,5,104,m30,0,百地丹波,忍者,迎撃,1437,576,92,118,81,65,5,27,結界,s1s2s3s10s11s19s13s9s15s16s28s,
伊賀百地忍軍,x6y10,5,104,m31,1,石川五右衛門,猛者,突撃,1221,576,89,75,95,75,6,23,無双,s8s17s22s29s,
風魔忍軍,x16y16,6,105,m30,0,風魔小太郎,忍者,迎撃,1437,576,120,120,78,75,5,27,結界,s1s2s3s7s8s10s11s19s13s15s16s18s22s21s26s,
雑賀衆,x0y13,6,106,m30,0,雑賀孫一,鉄砲,守備,1329,576,91,82,125,71,5,17,砲撃,s1s2s3s4s5s10s11s15s16s19s21s26s,
雑賀衆,x0y13,6,106,m31,1,鈴木佐大夫,武将,守備,1257,468,89,81,78,71,4,14,号令,s1s2s3s11s9s13s15s18s,
雑賀衆,x0y13,6,106,m32,2,鈴木重朝,武将,守備,1257,648,69,79,79,69,4,14,号令,s1s2s3s13s14s16s18s,
稲富流砲術隊,x5y3,4,107,m30,0,稲富祐直,鉄砲,守備,1329,576,69,71,89,45,2,5,狙撃,s2s3s5s19s9s13s21s28s,
服部半蔵軍,x14y13,4,108,m30,0,服部半蔵,武将,守備,1437,576,118,125,112,70,6,18,妖術,s1s2s3s8s10s11s19s15s20s17s21s22s26s,
本多正信軍,x14y14,4,109,m30,0,本多正信,軍師,迎撃,1401,504,54,78,115,54,4,24,治癒,s2s3s19s13s15s20s14s16s17s18s28s,
本多正信軍,x14y14,4,109,m31,1,本多正純,軍師,迎撃,1401,648,36,54,82,41,3,19,虚報,s2s3s13s20s16s17s27s,
武田勝頼軍,x16y8,4,110,m30,0,武田勝頼,騎馬,突撃,1437,576,91,71,79,81,5,26,騎突,s1s4s7s8s10s9s13s15s22s26s31s32s,
武田勝頼軍,x16y8,4,110,m31,1,高坂昌信,軍師,迎撃,1437,612,71,85,89,61,3,9,業火,s1s2s3s7s8s19s13s15s14s16s18s25s,
武田勝頼軍,x16y8,4,110,m32,2,小山田信茂,軍師,迎撃,1437,540,73,75,79,69,4,14,号令,s1s2s3s7s8s19s11s13s15s14s18s28s,
武田勝頼軍,x16y8,4,110,m33,3,飛加藤段蔵,忍者,突撃,1221,576,125,100,125,65,6,20,幻術,s1s2s3s4s7s8s10s11s19s12s9s20s17s22s27s21s,
武田勝頼軍,x16y8,4,110,m34,4,仁科盛信,騎馬,突撃,1149,360,84,65,71,74,5,26,騎突,s1s2s3s7s8s11s13s15s20s14s31s32s,
北条氏政軍,x16y15,3,111,m30,0,北条氏政,武将,守備,1473,612,69,84,71,71,3,14,号令,s2s3s11s19s13s15s20s16s18s,
北条氏政軍,x16y15,3,111,m31,1,大道寺政繁,武将,迎撃,1473,540,71,75,79,61,3,14,号令,s1s2s3s11s19s13s15s20s14s16s18s,
北条氏政軍,x16y15,3,111,m32,2,松田憲秀,軍師,迎撃,1401,1008,23,65,79,59,4,19,虚報,s1s2s3s17s22s27s,
北条氏政軍,x16y15,3,111,m33,3,風魔小太郎,忍者,突撃,1041,252,120,120,78,70,5,27,結界,s1s2s3s7s8s10s11s19s13s15s16s18s22s21s26s,
宇喜多秀家軍,x1y5,2,112,m30,0,宇喜多秀家,軍師,迎撃,1437,576,34,68,82,35,3,8,火計,s1s2s3s13s15s18s25s,
足利義昭軍,x5y8,3,113,m30,0,足利義昭,軍師,迎撃,1437,576,34,44,81,81,3,19,虚報,s2s3s11s19s20s17s18s22s27s,
足利義昭軍,x5y8,3,113,m31,1,細川藤孝,軍師,迎撃,1437,540,69,84,91,71,4,24,治癒,s1s2s3s19s13s15s20s14s16s17s18s21s28s,
足利義昭軍,x5y8,3,113,m32,2,和田惟政,忍者,守備,1581,576,73,75,69,39,5,13,影走,s1s2s3s8s9s13s20s17s28s,
上杉景勝軍,x16y0,6,114,m30,0,上杉景勝,騎馬,突撃,1113,576,94,81,63,91,5,26,騎突,s1s2s3s4s7s8s10s11s19s9s13s15s20s14s26s31s32s,
上杉景勝軍,x16y0,6,114,m31,1,直江兼続,軍師,迎撃,1437,576,82,105,110,81,4,24,治癒,s1s2s3s8s10s11s19s13s15s20s14s16s18s21s26s,
上杉景勝軍,x16y0,6,114,m32,2,軒猿衆壱,忍者,突撃,1041,180,80,70,60,45,5,13,影走,s1s7s8s19s22s28s,
上杉景勝軍,x16y0,6,114,m33,3,軒猿衆弐,忍者,突撃,1041,1008,80,70,60,45,5,13,影走,s1s7s8s19s22s29s,
毛利輝元軍,x1y1,5,115,m30,0,毛利輝元,武将,守備,1437,576,69,71,63,69,3,14,号令,s2s3s11s13s15s20s18s,
毛利輝元軍,x1y1,5,115,m31,1,吉川元春,武将,迎撃,1113,828,82,89,74,75,4,14,号令,s1s2s3s8s11s19s9s13s15s14s18s28s,
毛利輝元軍,x1y1,5,115,m32,2,小早川隆景,軍師,迎撃,1113,360,71,85,92,65,4,9,業火,s1s2s3s8s11s19s13s15s20s14s16s17s18s29s,
真田昌幸軍,x16y6,5,116,m30,0,真田昌幸,軍師,迎撃,1365,576,82,102,94,72,4,10,炎術,s1s2s3s8s11s19s13s15s14s16s17s18s21s25s,
真田昌幸軍,x16y6,5,116,m31,1,真田信幸,武将,迎撃,1401,576,71,85,72,71,3,14,号令,s2s3s13s20s14s17s,
真田昌幸軍,x16y6,5,116,m32,2,真田幸村,武将,迎撃,1077,576,112,113,94,89,5,22,豪傑,s1s2s3s4s7s8s10s11s19s12s9s13s15s20s14s16s21s26s,
真田昌幸軍,x16y6,5,116,m33,3,猿飛佐助,忍者,突撃,1041,612,99,99,99,60,6,13,影走,s1s7s8s19s9s13s20s17s21s22s26s,
真田昌幸軍,x16y6,5,116,m34,4,霧隠才蔵,忍者,突撃,1041,648,71,75,102,55,5,20,幻術,s1s8s11s19s17s29s,
真田昌幸軍,x16y6,5,116,m35,5,三好清海,猛者,乱戦,1041,504,121,62,59,91,4,23,無双,s1s4s7s8s10s9s13s20s,
真田昌幸軍,x16y6,5,116,m36,6,三好伊三,猛者,乱戦,1041,540,111,75,49,71,3,23,無双,s1s4s7s8s11s13s20s,
真田昌幸軍,x16y6,5,116,m37,7,海野六郎,足軽,突撃,1077,504,69,81,61,59,4,21,槍術,s1s2s3s7s13s20s,
真田昌幸軍,x16y6,5,116,m38,8,根津甚八,足軽,突撃,1113,612,83,69,65,68,4,21,槍術,s1s2s3s19s20s17s,
真田昌幸軍,x16y6,5,116,m39,9,穴山小介,足軽,突撃,1077,648,67,78,71,44,4,21,槍術,s1s2s3s7s21s19s13s,
