formation_id,足軽,弓兵,武将,猛者,軍師,鉄砲,忍者,騎馬,total
1,8,7,3,4,4,2,2,0,30
2,9,5,2,2,2,2,8,0,30
3,8,6,3,8,2,1,2,0,30
4,7,12,3,2,2,2,2,0,30
5,16,3,1,1,2,5,2,0,30
6,12,12,1,0,2,1,2,0,30
7,10,15,1,2,2,0,0,0,30
8,18,6,2,2,0,2,0,0,30
9,18,6,2,2,0,2,0,0,30
10,14,9,3,2,0,2,0,0,30
11,4,17,3,0,2,2,2,0,30
12,10,9,7,0,0,2,2,0,30
13,10,9,7,1,1,2,0,0,30
14,9,10,7,2,0,2,0,0,30
15,5,14,7,2,0,2,0,0,30
16,12,5,10,0,2,1,0,0,30
17,9,1,3,9,0,6,2,0,30
18,8,6,3,9,0,4,0,0,30
19,2,13,2,11,0,2,0,0,30
20,5,9,3,8,3,1,1,0,30
21,6,8,3,7,2,2,2,0,30
22,10,7,3,3,2,3,2,0,30
23,10,7,3,3,2,3,2,0,30
24,12,2,4,0,6,4,2,0,30
25,7,8,3,3,4,3,2,0,30
26,7,4,3,3,5,6,2,0,30
27,14,0,3,2,4,5,2,0,30
28,11,6,4,2,2,3,2,0,30
29,12,6,4,2,2,2,2,0,30
30,4,6,3,2,6,3,6,0,30
31,8,5,3,2,4,6,2,0,30
32,8,5,3,2,4,6,2,0,30
33,7,10,3,2,2,2,4,0,30
34,8,7,3,4,4,2,2,0,30
35,9,5,2,2,2,2,8,0,30
36,8,6,3,8,2,1,2,0,30
37,7,12,3,2,2,2,2,0,30
38,10,7,0,2,9,2,0,0,30
98,8,0,2,3,0,17,0,0,30
99,8,7,2,2,7,2,2,0,30
100,2,11,8,5,4,0,0,0,30
101,0,16,2,12,0,0,0,0,30
102,9,11,2,4,3,0,1,0,30
103,7,11,0,0,0,0,12,0,30
104,6,7,0,5,0,3,9,0,30
105,4,7,2,8,0,2,7,0,30
106,0,0,2,11,0,17,0,0,30
107,8,0,2,3,0,17,0,0,30
108,2,5,3,10,2,0,8,0,30
109,3,7,2,3,11,2,2,0,30
110,2,11,4,5,2,0,1,5,30
111,3,15,6,0,1,0,5,0,30
112,8,7,2,2,7,2,2,0,30
113,9,7,2,0,8,3,1,0,30
114,4,10,4,4,1,0,2,5,30
115,1,9,9,8,1,2,0,0,30
116,7,9,2,2,5,1,2,2,30
117,5,2,3,5,0,9,6,0,30
118,0,13,0,16,0,0,1,0,30
119,0,13,0,17,0,0,0,0,30
120,0,2,0,16,1,11,0,0,30
121,6,11,2,3,0,0,8,0,30
122,3,0,3,4,12,8,0,0,30
123,8,4,3,4,4,5,2,0,30
124,6,7,3,8,4,2,0,0,30
125,0,2,4,16,0,8,0,0,30
126,2,0,6,10,4,4,4,0,30
127,5,0,3,9,3,8,2,0,30
128,1,0,12,8,2,7,0,0,30
129,1,1,9,3,3,10,3,0,30
130,4,3,5,3,0,6,0,9,30
