level,elv,class_code,class_name,foot_min,foot_max,combat_min,combat_max,hp_min,hp_max,defense_min,defense_max,skill_min,skill_max
1,-5,1,足軽,2,4,35,102,25,86,25,91,25,92
1,-5,2,弓兵,2,4,15,110,25,92,15,82,25,92
1,-5,3,武将,2,4,25,110,25,92,60,110,25,92
1,-5,4,猛者,2,4,60,110,40,102,25,92,25,92
1,-5,5,軍師,2,3,5,72,15,91,25,110,25,110
1,-5,6,鉄砲,1,2,5,52,15,86,15,82,25,92
1,-5,7,忍者,4,5,60,110,15,47,60,110,25,92
1,-5,8,騎馬,5,6,80,125,45,81,10,32,50,106
2,0,1,足軽,2,4,40,107,30,91,30,96,30,97
2,0,2,弓兵,2,4,20,110,30,97,20,87,30,97
2,0,3,武将,2,4,30,110,30,97,65,110,30,97
2,0,4,猛者,2,4,65,110,45,107,30,97,30,97
2,0,5,軍師,2,3,10,77,20,96,30,110,30,110
2,0,6,鉄砲,1,2,10,57,20,91,20,87,30,97
2,0,7,忍者,4,5,65,110,15,47,65,110,30,97
2,0,8,騎馬,5,6,85,125,50,86,15,37,55,110
3,5,1,足軽,2,4,45,110,35,96,35,101,35,102
3,5,2,弓兵,2,4,25,110,35,102,25,92,35,102
3,5,3,武将,2,4,35,110,35,102,70,110,35,102
3,5,4,猛者,2,4,70,110,50,110,35,102,35,102
3,5,5,軍師,2,3,15,82,25,101,35,110,35,110
3,5,6,鉄砲,1,2,15,62,25,96,25,92,35,102
3,5,7,忍者,4,5,70,110,15,47,70,110,35,102
3,5,8,騎馬,5,6,90,125,55,94,20,42,60,110
4,10,1,足軽,2,4,50,110,40,101,40,106,40,107
4,10,2,弓兵,2,4,30,110,40,107,30,97,40,107
4,10,3,武将,2,4,40,110,40,107,75,110,40,107
4,10,4,猛者,2,4,75,110,55,110,40,107,40,107
4,10,5,軍師,2,3,20,87,30,106,40,110,40,110
4,10,6,鉄砲,1,2,20,67,30,101,30,97,40,107
4,10,7,忍者,4,5,75,110,15,47,75,110,40,107
4,10,8,騎馬,5,6,95,125,60,94,25,47,65,110
5,15,1,足軽,2,4,55,110,45,106,45,110,45,110
5,15,2,弓兵,2,4,35,110,45,110,35,102,45,110
5,15,3,武将,2,4,45,110,45,110,80,110,45,110
5,15,4,猛者,2,4,80,110,60,110,45,110,45,110
5,15,5,軍師,2,3,25,92,35,110,45,110,45,110
5,15,6,鉄砲,1,2,25,72,35,106,35,102,45,110
5,15,7,忍者,4,5,80,110,15,47,80,110,45,110
5,15,8,騎馬,5,6,100,125,65,94,30,52,70,110
6,20,1,足軽,2,4,60,110,50,110,50,110,50,110
6,20,2,弓兵,2,4,40,110,50,110,40,107,50,110
6,20,3,武将,2,4,50,110,50,110,85,110,50,110
6,20,4,猛者,2,4,85,110,65,110,50,110,50,110
6,20,5,軍師,2,3,30,97,40,110,50,110,50,110
6,20,6,鉄砲,1,2,30,77,40,110,40,107,50,110
6,20,7,忍者,4,5,85,110,15,47,85,110,50,110
6,20,8,騎馬,5,6,105,125,70,94,35,57,75,110
7,25,1,足軽,2,4,65,110,55,110,55,110,55,110
7,25,2,弓兵,2,4,45,110,55,110,45,110,55,110
7,25,3,武将,2,4,55,110,55,110,90,110,55,110
7,25,4,猛者,2,4,90,110,70,110,55,110,55,110
7,25,5,軍師,2,3,35,102,45,110,55,110,55,110
7,25,6,鉄砲,1,2,35,82,45,110,45,110,55,110
7,25,7,忍者,4,5,90,110,15,47,90,110,55,110
7,25,8,騎馬,5,6,110,125,75,94,40,62,80,110
8,30,1,足軽,2,4,70,110,60,110,60,110,60,110
8,30,2,弓兵,2,4,50,110,60,110,50,110,60,110
8,30,3,武将,2,4,60,110,60,110,95,110,60,110
8,30,4,猛者,2,4,95,110,75,110,60,110,60,110
8,30,5,軍師,2,3,40,107,50,110,60,110,60,110
8,30,6,鉄砲,1,2,40,87,50,110,50,110,60,110
8,30,7,忍者,4,5,95,110,15,47,95,110,60,110
8,30,8,騎馬,5,6,115,125,80,94,45,67,85,110
9,35,1,足軽,2,4,75,110,65,110,65,110,65,110
9,35,2,弓兵,2,4,55,110,65,110,55,110,65,110
9,35,3,武将,2,4,65,110,65,110,100,110,65,110
9,35,4,猛者,2,4,100,110,80,110,65,110,65,110
9,35,5,軍師,2,3,45,110,55,110,65,110,65,110
9,35,6,鉄砲,1,2,45,92,55,110,55,110,65,110
9,35,7,忍者,4,5,100,110,15,47,100,110,65,110
9,35,8,騎馬,5,6,120,125,80,94,50,72,90,110
10,40,1,足軽,2,4,80,110,70,110,70,110,70,110
10,40,2,弓兵,2,4,60,110,70,110,60,110,70,110
10,40,3,武将,2,4,70,110,70,110,105,110,70,110
10,40,4,猛者,2,4,105,110,85,110,70,110,70,110
10,40,5,軍師,2,3,50,110,60,110,70,110,70,110
10,40,6,鉄砲,1,2,50,97,60,110,60,110,70,110
10,40,7,忍者,4,5,105,110,15,47,105,110,70,110
10,40,8,騎馬,5,6,125,125,80,94,55,77,95,110
