class_code,class_name,technique_code,technique_name,probability,percent
1,足軽,1,槍撃,0.995,99.5
1,足軽,21,槍術,0.005,0.5
2,弓兵,2,弓矢,0.774,77.4
2,弓兵,3,遠射,0.2,20.0
2,弓兵,15,火矢,0.018199999999999997,1.8199999999999998
2,弓兵,16,焙烙,0.0078,0.7799999999999999
3,武将,14,号令,0.9938944444444445,99.38944444444445
3,武将,22,豪傑,0.004994444444444445,0.49944444444444447
3,武将,24,治癒,0.0011111111111111111,0.1111111111111111
4,猛者,11,旋風,0.747,74.7
4,猛者,23,無双,0.249,24.9
4,猛者,25,鬼神,0.004,0.4
5,軍師,6,火遊,0.4705852892857142,47.05852892857142
5,軍師,7,火攻,0.4705852892857142,47.05852892857142
5,軍師,8,火計,0.019244289285714283,1.9244289285714284
5,軍師,9,業火,0.0022442892857142856,0.22442892857142854
5,軍師,10,炎術,1.2857142857142856e-05,0.0012857142857142856
5,軍師,18,妖術,0.0094,0.9400000000000001
5,軍師,19,虚報,0.027917999999999995,2.7917999999999994
5,軍師,24,治癒,9.985714285714286e-06,0.0009985714285714285
6,鉄砲,4,射撃,0.796,79.60000000000001
6,鉄砲,5,狙撃,0.2,20.0
6,鉄砲,17,砲撃,0.004,0.4
7,忍者,12,忍術,0.852687,85.2687
7,忍者,13,影走,0.127413,12.741299999999999
7,忍者,20,幻術,0.0099,0.9900000000000001
7,忍者,27,結界,0.01,1.0
8,騎馬,26,騎突,1.0,100.0
