x,y,map_key,category_code,category_name,battle_kind,name,formation_id,formation_pool,level,elv,selectable_battle,unlock_condition,special_flag,level_rule
0,0,x0y0,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
1,0,x1y0,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
2,0,x2y0,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
3,0,x3y0,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
4,0,x4y0,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
5,0,x5y0,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
6,0,x6y0,1,通常戦闘地点から除外される地形/非通常セル,excluded,,,,,,False,,,
7,0,x7y0,1,通常戦闘地点から除外される地形/非通常セル,excluded,,,,,,False,,,
8,0,x8y0,1,通常戦闘地点から除外される地形/非通常セル,excluded,,,,,,False,,,
9,0,x9y0,1,通常戦闘地点から除外される地形/非通常セル,excluded,,,,,,False,,,
10,0,x10y0,1,通常戦闘地点から除外される地形/非通常セル,excluded,,,,,,False,,,
11,0,x11y0,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
12,0,x12y0,5,兵学舎,named,一向一揆,122,,6,20,True,,,
13,0,x13y0,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
14,0,x14y0,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
15,0,x15y0,4,繁華街,named,前田慶次郎軍,118,,6,20,True,,,
16,0,x16y0,6,武家屋敷,named,上杉景勝軍,114,,6,20,True,,,
0,1,x0y1,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
1,1,x1y1,6,武家屋敷,named,毛利輝元軍,115,,5,15,True,,,
2,1,x2y1,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
3,1,x3y1,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
4,1,x4y1,4,繁華街,generic,繁華街,,17..21 (uniform via floor(random*5)+17),4,10,True,,,
5,1,x5y1,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
6,1,x6y1,1,通常戦闘地点から除外される地形/非通常セル,excluded,,,,,,False,,,
7,1,x7y1,1,通常戦闘地点から除外される地形/非通常セル,excluded,,,,,,False,,,
8,1,x8y1,1,通常戦闘地点から除外される地形/非通常セル,excluded,,,,,,False,,,
9,1,x9y1,1,通常戦闘地点から除外される地形/非通常セル,excluded,,,,,,False,,,
10,1,x10y1,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
11,1,x11y1,6,武家屋敷,generic,武家屋敷,,12..16 (uniform via floor(random*5)+12),4,10,True,,,
12,1,x12y1,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
13,1,x13y1,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
14,1,x14y1,7,攻略目標の敵城,named,柴田勝家軍,125,,6,20,True,,,
15,1,x15y1,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
16,1,x16y1,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
