depth,name,character_id,x,y,scale_x,scale_y,description
29,ami,2552,0.0,0.0,1.0,1.0,ami
31,top balance strip,2554,0.0,0.0,1.0,1.0,top balance strip
32,mb,2555,36.0,8.0,1.0,1.0,mb
33,mm,2556,72.0,8.0,1.0,1.0,mm
34,em,2557,133.0,8.0,1.0,1.0,em
35,eb,2558,170.0,8.0,1.0,1.0,eb
36,timer background,2560,0.0,0.0,1.0,1.0,timer background
37,tm,2561,345.0,8.0,1.0,1.0,tm
38,ea,2570,186.0,30.0,1.0,1.0,ea
44,bottom status background,2572,0.0,0.0,1.0,1.0,bottom status background
45,mnm,2573,3.8,347.0,1.0,1.002777099609375,mnm
46,mhp,2574,99.5,347.0,1.0,1.002777099609375,mhp
47,mpw,2575,99.5,364.0,1.0,1.002777099609375,mpw
48,mdf,2576,142.5,364.0,1.0,1.002777099609375,mdf
49,trm,2581,173.0,344.0,1.0,1.0,trm
51,ma,2587,-1.0,30.0,1.0,1.0,ma
57,kpb,2591,21.0,366.0,1.0,1.0,kpb
62,tmp,2592,191.0,347.0,1.0,1.002777099609375,tmp
63,ts,2593,283.0,347.0,1.0,1.002777099609375,ts
68,uwd,2603,343.0,343.0,1.0,1.0,uwd
73,htbr,2609,2.0,20.0,1.0,1.0,htbr
79,snd,2633,158.0,-63.55,1.0,1.0,sound holder
