frame,time_s,depth,preferred_depth,character_id,local_x,local_y,stage_x,stage_y,scale_x,scale_y,alpha,red_mult,red_add,ratio
1,0.0,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-255,
2,0.041667,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-234,
3,0.083333,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-214,
4,0.125,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-193,
5,0.166667,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-173,
6,0.208333,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-152,
7,0.25,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-131,
8,0.291667,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-111,
9,0.333333,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-90,
9,0.333333,3,,2467,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,
10,0.375,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-70,
10,0.375,3,,2467,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,13755
11,0.416667,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-49,
11,0.416667,3,,2467,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,25891
12,0.458333,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-29,
12,0.458333,3,,2467,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,36408
13,0.5,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-8,
13,0.5,3,,2467,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,45309
14,0.541667,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,0.976562,1.0,-7,
14,0.541667,3,,2467,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,52591
15,0.583333,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,0.953125,1.0,-7,
15,0.583333,3,,2467,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,58254
16,0.625,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,0.929688,1.0,-6,
16,0.625,3,,2467,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,62299
16,0.625,12,,2469,178.5,165.4,178.5,165.4,1.0,1.0,1,1,0,15
16,0.625,13,,2470,-33.45,165.4,-33.45,165.4,1.0,1.0,1,1,0,15
16,0.625,16,,2473,136.35,123.2,136.35,123.2,1.400009,1.400009,0.0,1.0,0,15
17,0.666667,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,0.90625,1.0,-5,
17,0.666667,3,,2467,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,64727
17,0.666667,12,,2469,178.5,165.4,178.5,165.4,1.0,1.0,1,1,0,15
17,0.666667,13,,2470,-33.45,165.4,-33.45,165.4,1.0,1.0,1,1,0,15
17,0.666667,16,,2473,139.25,125.9,139.25,125.9,1.324982,1.324982,0.5,1.0,0,15
18,0.708333,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,0.882812,1.0,-5,
18,0.708333,11,,2474,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,
18,0.708333,12,,2469,178.5,165.4,178.5,165.4,1.0,1.0,1,1,0,15
18,0.708333,13,,2470,-33.45,165.4,-33.45,165.4,1.0,1.0,1,1,0,15
18,0.708333,14,,2477,157.0,148.0,157.0,148.0,1.0,1.0,0.0,1.0,0,17
18,0.708333,16,,2473,142.2,128.6,142.2,128.6,1.249985,1.249985,1.0,1.0,0,15
19,0.75,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,0.859375,1.0,-4,
19,0.75,11,,2474,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,
19,0.75,12,,2469,178.5,165.4,178.5,165.4,1.0,1.0,1,1,0,15
19,0.75,13,,2470,-33.45,165.4,-33.45,165.4,1.0,1.0,1,1,0,15
19,0.75,14,,2477,157.0,148.0,157.0,148.0,1.0,1.0,0.25,1.0,0,17
19,0.75,16,,2473,142.8,129.2,142.8,129.2,1.234344,1.234344,0.9375,1.0,0,15
20,0.791667,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,0.835938,1.0,-3,
20,0.791667,11,,2474,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,
20,0.791667,12,,2469,178.5,165.4,178.5,165.4,1.0,1.0,1,1,0,15
20,0.791667,13,,2470,-33.45,165.4,-33.45,165.4,1.0,1.0,1,1,0,15
20,0.791667,14,,2477,157.0,148.0,157.0,148.0,1.0,1.0,0.5,1.0,0,17
20,0.791667,16,,2473,144.65,130.95,144.65,130.95,1.187485,1.187485,0.75,1.0,0,15
21,0.833333,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,0.8125,1.0,-3,
21,0.833333,11,,2474,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,
21,0.833333,12,,2469,178.5,165.4,178.5,165.4,1.0,1.0,1,1,0,15
21,0.833333,13,,2470,-33.45,165.4,-33.45,165.4,1.0,1.0,1,1,0,15
21,0.833333,14,,2477,157.0,148.0,157.0,148.0,1.0,1.0,0.75,1.0,0,17
21,0.833333,16,,2473,147.75,133.95,147.75,133.95,1.10936,1.10936,0.4375,1.0,0,15
22,0.875,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,0.789062,1.0,-2,
22,0.875,11,,2474,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,
22,0.875,12,,2469,178.5,165.4,178.5,165.4,1.0,1.0,1,1,0,15
22,0.875,13,,2470,-33.45,165.4,-33.45,165.4,1.0,1.0,1,1,0,15
22,0.875,14,,2477,157.0,148.0,157.0,148.0,1.0,1.0,1.0,1.0,0,17
22,0.875,16,,2473,152.0,138.0,152.0,138.0,1.0,1.0,0.0,1.0,0,15
23,0.916667,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,0.765625,1.0,-1,
23,0.916667,11,,2474,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,
23,0.916667,12,,2469,178.5,165.4,178.5,165.4,1.0,1.0,1,1,0,15
23,0.916667,13,,2470,-33.45,165.4,-33.45,165.4,1.0,1.0,1,1,0,15
23,0.916667,14,,2477,157.0,148.0,157.0,148.0,1.0,1.0,1.0,1.0,0,17
24,0.958333,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,0.742188,1.0,-1,
24,0.958333,11,,2474,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,
24,0.958333,12,,2469,178.5,165.4,178.5,165.4,1.0,1.0,1,1,0,15
24,0.958333,13,,2470,-33.45,165.4,-33.45,165.4,1.0,1.0,1,1,0,15
24,0.958333,14,,2477,157.0,148.0,157.0,148.0,1.0,1.0,1.0,1.0,0,17
25,1.0,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,0.71875,1.0,0,
25,1.0,11,,2474,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,
25,1.0,12,,2469,178.5,165.4,178.5,165.4,1.0,1.0,1,1,0,15
25,1.0,13,,2470,-33.45,165.4,-33.45,165.4,1.0,1.0,1,1,0,15
25,1.0,14,,2477,157.0,148.0,157.0,148.0,1.0,1.0,1.0,1.0,0,17
26,1.041667,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,0.71875,1.0,0,
26,1.041667,11,,2474,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,
26,1.041667,12,,2469,178.5,165.4,178.5,165.4,1.0,1.0,1,1,0,15
26,1.041667,13,,2470,-33.45,165.4,-33.45,165.4,1.0,1.0,1,1,0,15
26,1.041667,14,,2477,157.0,148.0,157.0,148.0,1.0,1.0,1.0,1.0,0,17
27,1.083333,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,0.71875,1.0,0,
27,1.083333,11,,2474,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,
27,1.083333,12,,2469,178.5,165.4,178.5,165.4,1.0,1.0,1,1,0,15
27,1.083333,13,,2470,-33.45,165.4,-33.45,165.4,1.0,1.0,1,1,0,15
27,1.083333,14,,2477,157.0,148.0,157.0,148.0,1.0,1.0,1.0,1.0,0,17
28,1.125,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,0.71875,1.0,0,
28,1.125,11,,2474,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,
28,1.125,12,,2469,178.5,165.4,178.5,165.4,1.0,1.0,1,1,0,15
28,1.125,13,,2470,-33.45,165.4,-33.45,165.4,1.0,1.0,1,1,0,15
28,1.125,14,,2477,157.0,148.0,157.0,148.0,1.0,1.0,1.0,1.0,0,17
29,1.166667,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,0.71875,1.0,0,
29,1.166667,3,,2480,219.0,97.0,219.0,97.0,1.0,1.0,0.601562,1.0,0,28
29,1.166667,11,,2474,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,
29,1.166667,12,,2469,178.5,165.4,178.5,165.4,1.0,1.0,1,1,0,15
29,1.166667,13,,2470,-33.45,165.4,-33.45,165.4,1.0,1.0,1,1,0,15
29,1.166667,14,,2477,157.0,148.0,157.0,148.0,1.0,1.0,1.0,1.0,0,17
30,1.208333,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,0.71875,1.0,0,
30,1.208333,3,,2480,219.0,97.0,219.0,97.0,1.0,1.0,0.492188,1.0,0,28
30,1.208333,11,,2474,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,
30,1.208333,12,,2469,178.5,165.4,178.5,165.4,1.0,1.0,1,1,0,15
30,1.208333,13,,2470,-33.45,165.4,-33.45,165.4,1.0,1.0,1,1,0,15
30,1.208333,14,,2477,157.0,148.0,157.0,148.0,1.0,1.0,1.0,1.0,0,17
31,1.25,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,0.71875,1.0,1,
31,1.25,3,,2480,219.0,97.0,219.0,97.0,1.0,1.0,0.382812,1.0,0,28
31,1.25,11,,2474,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,
31,1.25,12,,2469,178.5,165.4,178.5,165.4,1.0,1.0,1,1,0,15
31,1.25,13,,2470,-33.45,165.4,-33.45,165.4,1.0,1.0,1,1,0,15
31,1.25,14,,2477,157.0,148.0,157.0,148.0,1.0,1.0,1.0,1.0,0,17
32,1.291667,1,,2465,0.0,0.0,0.0,0.0,1.0,1.0,0.71875,1.0,1,
32,1.291667,3,,2480,219.0,97.0,219.0,97.0,1.0,1.0,0.269531,1.0,0,28
32,1.291667,5,,2483,202.5,87.0,202.5,87.0,1.0,1.0,0.601562,1.0,0,31
32,1.291667,11,,2474,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,
