frame,time_s,depth,preferred_depth,character_id,local_x,local_y,stage_x,stage_y,scale_x,scale_y,alpha,red_mult,red_add,ratio
1,0.0,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,0.0,1.0,0,
2,0.041667,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,0.082031,1.0,0,
3,0.083333,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,0.167969,1.0,0,
4,0.125,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,0.25,1.0,0,
5,0.166667,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,0.332031,1.0,0,
6,0.208333,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,0.417969,1.0,0,
7,0.25,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,0.5,1.0,0,
8,0.291667,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,0.582031,1.0,0,
9,0.333333,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,0.667969,1.0,0,
10,0.375,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,0.75,1.0,0,
11,0.416667,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,0.832031,1.0,0,
12,0.458333,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,0.917969,1.0,0,
13,0.5,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
14,0.541667,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
15,0.583333,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
16,0.625,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
17,0.666667,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
18,0.708333,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
19,0.75,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
20,0.791667,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
21,0.833333,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
22,0.875,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
23,0.916667,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
24,0.958333,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
25,1.0,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
26,1.041667,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
27,1.083333,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
28,1.125,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
29,1.166667,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
30,1.208333,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
31,1.25,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
32,1.291667,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
33,1.333333,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
34,1.375,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
35,1.416667,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
36,1.458333,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
37,1.5,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
38,1.541667,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
39,1.583333,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
40,1.625,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
41,1.666667,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
42,1.708333,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
43,1.75,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
44,1.791667,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
45,1.833333,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
46,1.875,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
47,1.916667,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
48,1.958333,1,,2534,0.0,0.0,11.0,4.0,1.0,1.0,1.0,1.0,0,
