frame,time_s,depth,preferred_depth,character_id,local_x,local_y,stage_x,stage_y,scale_x,scale_y,alpha,red_mult,red_add,ratio
1,0.0,,,,,,,,,,,,,
2,0.041667,,,,,,,,,,,,,
3,0.083333,,,,,,,,,,,,,
4,0.125,,,,,,,,,,,,,
5,0.166667,,,,,,,,,,,,,
6,0.208333,1,,2497,0.0,0.0,150.0,105.0,1.0,1.0,0.0,1.0,0,5
7,0.25,1,,2497,0.0,0.0,150.0,105.0,1.0,1.0,0.199219,1.0,0,5
8,0.291667,1,,2497,0.0,0.0,150.0,105.0,1.0,1.0,0.398438,1.0,0,5
9,0.333333,1,,2497,0.0,0.0,150.0,105.0,1.0,1.0,0.601562,1.0,0,5
10,0.375,1,,2497,0.0,0.0,150.0,105.0,1.0,1.0,0.800781,1.0,0,5
11,0.416667,1,,2497,0.0,0.0,150.0,105.0,1.0,1.0,1.0,1.0,0,5
12,0.458333,1,,2497,0.0,0.0,150.0,105.0,1.0,1.0,1.0,1.0,0,5
13,0.5,1,,2497,0.0,0.0,150.0,105.0,1.0,1.0,1.0,1.0,0,5
14,0.541667,1,,2497,0.0,0.0,150.0,105.0,1.0,1.0,1.0,1.0,0,5
15,0.583333,1,,2497,0.0,0.0,150.0,105.0,1.0,1.0,1.0,1.0,0,5
16,0.625,1,,2497,0.0,0.0,150.0,105.0,1.0,1.0,1.0,1.0,0,5
17,0.666667,1,,2497,0.0,0.0,150.0,105.0,1.0,1.0,1.0,1.0,0,5
18,0.708333,1,,2497,0.0,0.0,150.0,105.0,1.0,1.0,1.0,1.0,0,5
19,0.75,1,,2497,0.0,0.0,150.0,105.0,1.0,1.0,1.0,1.0,0,5
20,0.791667,1,,2497,0.0,0.0,150.0,105.0,1.0,1.0,1.0,1.0,0,5
21,0.833333,1,,2497,0.0,0.0,150.0,105.0,1.0,1.0,1.0,1.0,0,5
22,0.875,1,,2497,0.0,0.0,150.0,105.0,1.0,1.0,1.0,1.0,0,5
23,0.916667,1,,2497,0.0,0.0,150.0,105.0,1.0,1.0,1.0,1.0,0,5
24,0.958333,1,,2497,0.0,0.0,150.0,105.0,1.0,1.0,1.0,1.0,0,5
