frame,time_s,depth,preferred_depth,character_id,local_x,local_y,stage_x,stage_y,scale_x,scale_y,alpha,red_mult,red_add,ratio
1,0.0,1,,2517,0.0,0.0,0.0,1.0,1.0,1.0,1,1,0,
1,0.0,2,,2519,0.0,0.0,0.0,1.0,1.0,1.0,1,1,0,
1,0.0,4,,2522,175.85,169.35,175.85,170.35,0.079437,0.079437,1,1,0,
2,0.041667,1,,2517,0.0,0.0,0.0,1.0,1.0,1.0,1,1,0,21845
2,0.041667,2,,2519,0.0,0.0,0.0,1.0,1.0,1.0,1,1,0,
2,0.041667,4,,2522,143.3,155.85,143.3,156.85,0.347076,0.347076,1,1,0,
3,0.083333,1,,2517,0.0,0.0,0.0,1.0,1.0,1.0,1,1,0,43691
3,0.083333,2,,2519,0.0,0.0,0.0,1.0,1.0,1.0,1,1,0,
3,0.083333,4,,2522,45.75,115.45,45.75,116.45,1.149963,1.149963,1,1,0,
4,0.125,1,,2523,-296.1,-933.95,-296.1,-932.95,2.392609,5.146805,1,1,0,
4,0.125,2,,2519,0.0,0.0,0.0,1.0,1.0,1.0,1,1,0,
4,0.125,4,,2522,64.0,123.0,64.0,124.0,1.0,1.0,1,1,0,
5,0.166667,1,,2523,-296.1,-933.95,-296.1,-932.95,2.392609,5.146805,1,1,0,
5,0.166667,2,,2519,0.0,0.0,0.0,1.0,1.0,1.0,1,1,0,
5,0.166667,4,,2522,64.0,123.0,64.0,124.0,1.0,1.0,1,1,0,
