frame,time_s,depth,preferred_depth,character_id,local_x,local_y,stage_x,stage_y,scale_x,scale_y,alpha,red_mult,red_add,ratio
1,0.0,1,1,2589,-79.75,-2.0,-58.75,364.0,1.0,1.0,1,1,0,
1,0.0,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
2,0.041667,1,1,2589,-79.4,-2.0,-58.4,364.0,1.0,1.0,1,1,0,
2,0.041667,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
3,0.083333,1,1,2589,-79.05,-2.0,-58.05,364.0,1.0,1.0,1,1,0,
3,0.083333,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
4,0.125,1,1,2589,-78.65,-2.0,-57.65,364.0,1.0,1.0,1,1,0,
4,0.125,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
5,0.166667,1,1,2589,-78.3,-1.95,-57.3,364.05,1.0,1.0,1,1,0,
5,0.166667,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
6,0.208333,1,1,2589,-77.95,-1.95,-56.95,364.05,1.0,1.0,1,1,0,
6,0.208333,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
7,0.25,1,1,2589,-77.6,-1.95,-56.6,364.05,1.0,1.0,1,1,0,
7,0.25,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
8,0.291667,1,1,2589,-77.25,-1.95,-56.25,364.05,1.0,1.0,1,1,0,
8,0.291667,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
9,0.333333,1,1,2589,-76.9,-1.95,-55.9,364.05,1.0,1.0,1,1,0,
9,0.333333,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
10,0.375,1,1,2589,-76.5,-1.95,-55.5,364.05,1.0,1.0,1,1,0,
10,0.375,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
11,0.416667,1,1,2589,-76.15,-1.95,-55.15,364.05,1.0,1.0,1,1,0,
11,0.416667,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
12,0.458333,1,1,2589,-75.8,-1.9,-54.8,364.1,1.0,1.0,1,1,0,
12,0.458333,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
13,0.5,1,1,2589,-75.45,-1.9,-54.45,364.1,1.0,1.0,1,1,0,
13,0.5,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
14,0.541667,1,1,2589,-75.1,-1.9,-54.1,364.1,1.0,1.0,1,1,0,
14,0.541667,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
15,0.583333,1,1,2589,-74.75,-1.9,-53.75,364.1,1.0,1.0,1,1,0,
15,0.583333,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
16,0.625,1,1,2589,-74.35,-1.9,-53.35,364.1,1.0,1.0,1,1,0,
16,0.625,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
17,0.666667,1,1,2589,-74.0,-1.9,-53.0,364.1,1.0,1.0,1,1,0,
17,0.666667,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
18,0.708333,1,1,2589,-73.65,-1.85,-52.65,364.15,1.0,1.0,1,1,0,
18,0.708333,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
19,0.75,1,1,2589,-73.3,-1.85,-52.3,364.15,1.0,1.0,1,1,0,
19,0.75,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
20,0.791667,1,1,2589,-72.95,-1.85,-51.95,364.15,1.0,1.0,1,1,0,
20,0.791667,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
21,0.833333,1,1,2589,-72.6,-1.85,-51.6,364.15,1.0,1.0,1,1,0,
21,0.833333,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
22,0.875,1,1,2589,-72.2,-1.85,-51.2,364.15,1.0,1.0,1,1,0,
22,0.875,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
23,0.916667,1,1,2589,-71.85,-1.85,-50.85,364.15,1.0,1.0,1,1,0,
23,0.916667,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
24,0.958333,1,1,2589,-71.5,-1.85,-50.5,364.15,1.0,1.0,1,1,0,
24,0.958333,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
25,1.0,1,1,2589,-71.15,-1.8,-50.15,364.2,1.0,1.0,1,1,0,
25,1.0,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
26,1.041667,1,1,2589,-70.8,-1.8,-49.8,364.2,1.0,1.0,1,1,0,
26,1.041667,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
27,1.083333,1,1,2589,-70.45,-1.8,-49.45,364.2,1.0,1.0,1,1,0,
27,1.083333,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
28,1.125,1,1,2589,-70.05,-1.8,-49.05,364.2,1.0,1.0,1,1,0,
28,1.125,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
29,1.166667,1,1,2589,-69.7,-1.8,-48.7,364.2,1.0,1.0,1,1,0,
29,1.166667,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
30,1.208333,1,1,2589,-69.35,-1.8,-48.35,364.2,1.0,1.0,1,1,0,
30,1.208333,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
31,1.25,1,1,2589,-69.0,-1.8,-48.0,364.2,1.0,1.0,1,1,0,
31,1.25,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
32,1.291667,1,1,2589,-68.65,-1.75,-47.65,364.25,1.0,1.0,1,1,0,
32,1.291667,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
33,1.333333,1,1,2589,-68.3,-1.75,-47.3,364.25,1.0,1.0,1,1,0,
33,1.333333,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
34,1.375,1,1,2589,-67.9,-1.75,-46.9,364.25,1.0,1.0,1,1,0,
34,1.375,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
35,1.416667,1,1,2589,-67.55,-1.75,-46.55,364.25,1.0,1.0,1,1,0,
35,1.416667,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
36,1.458333,1,1,2589,-67.2,-1.75,-46.2,364.25,1.0,1.0,1,1,0,
36,1.458333,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
37,1.5,1,1,2589,-66.85,-1.75,-45.85,364.25,1.0,1.0,1,1,0,
37,1.5,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
38,1.541667,1,1,2589,-66.5,-1.7,-45.5,364.3,1.0,1.0,1,1,0,
38,1.541667,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
39,1.583333,1,1,2589,-66.1,-1.7,-45.1,364.3,1.0,1.0,1,1,0,
39,1.583333,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
40,1.625,1,1,2589,-65.75,-1.7,-44.75,364.3,1.0,1.0,1,1,0,
40,1.625,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
41,1.666667,1,1,2589,-65.4,-1.7,-44.4,364.3,1.0,1.0,1,1,0,
41,1.666667,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
42,1.708333,1,1,2589,-65.05,-1.7,-44.05,364.3,1.0,1.0,1,1,0,
42,1.708333,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
43,1.75,1,1,2589,-64.7,-1.7,-43.7,364.3,1.0,1.0,1,1,0,
43,1.75,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
44,1.791667,1,1,2589,-64.35,-1.7,-43.35,364.3,1.0,1.0,1,1,0,
44,1.791667,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
45,1.833333,1,1,2589,-63.95,-1.65,-42.95,364.35,1.0,1.0,1,1,0,
45,1.833333,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
46,1.875,1,1,2589,-63.6,-1.65,-42.6,364.35,1.0,1.0,1,1,0,
46,1.875,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
47,1.916667,1,1,2589,-63.25,-1.65,-42.25,364.35,1.0,1.0,1,1,0,
47,1.916667,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
48,1.958333,1,1,2589,-62.9,-1.65,-41.9,364.35,1.0,1.0,1,1,0,
48,1.958333,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
49,2.0,1,1,2589,-62.55,-1.65,-41.55,364.35,1.0,1.0,1,1,0,
49,2.0,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
50,2.041667,1,1,2589,-62.2,-1.65,-41.2,364.35,1.0,1.0,1,1,0,
50,2.041667,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
51,2.083333,1,1,2589,-61.8,-1.6,-40.8,364.4,1.0,1.0,1,1,0,
51,2.083333,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
52,2.125,1,1,2589,-61.45,-1.6,-40.45,364.4,1.0,1.0,1,1,0,
52,2.125,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
53,2.166667,1,1,2589,-61.1,-1.6,-40.1,364.4,1.0,1.0,1,1,0,
53,2.166667,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
54,2.208333,1,1,2589,-60.75,-1.6,-39.75,364.4,1.0,1.0,1,1,0,
54,2.208333,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
55,2.25,1,1,2589,-60.4,-1.6,-39.4,364.4,1.0,1.0,1,1,0,
55,2.25,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
56,2.291667,1,1,2589,-60.05,-1.6,-39.05,364.4,1.0,1.0,1,1,0,
56,2.291667,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
57,2.333333,1,1,2589,-59.65,-1.6,-38.65,364.4,1.0,1.0,1,1,0,
57,2.333333,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
58,2.375,1,1,2589,-59.3,-1.55,-38.3,364.45,1.0,1.0,1,1,0,
58,2.375,3,1,2590,0.0,0.0,21.0,366.0,1.0,1.0,1,1,0,
59,2.416667,1,1,2589,-58.95,-1.55,-37.95,364.45,1.0,1.0,1,1,0,
