frame,time_s,depth,preferred_depth,character_id,local_x,local_y,stage_x,stage_y,scale_x,scale_y,alpha,red_mult,red_add,ratio
1,0.0,1,,2493,0.0,0.0,-2.0,340.0,1.0,1.0,1,1,0,
1,0.0,2,,2498,152.0,-235.0,150.0,105.0,1.0,1.0,1,1,0,
2,0.041667,1,,2500,0.0,0.0,-2.0,340.0,1.0,1.0,1,1,0,
2,0.041667,2,,2502,0.0,0.0,-2.0,340.0,1.0,1.0,1,1,0,
3,0.083333,1,,2500,0.0,0.0,-2.0,340.0,1.0,1.0,1,1,0,
3,0.083333,2,,2504,0.0,0.0,-2.0,340.0,1.0,1.0,1,1,0,
4,0.125,1,,2500,0.0,0.0,-2.0,340.0,1.0,1.0,1,1,0,
4,0.125,2,,2506,0.0,0.0,-2.0,340.0,1.0,1.0,1,1,0,
5,0.166667,1,,2500,0.0,0.0,-2.0,340.0,1.0,1.0,1,1,0,
5,0.166667,2,,2507,271.0,10.0,269.0,350.0,1.0,1.0,1,1,0,4
5,0.166667,4,,2508,203.0,10.0,201.0,350.0,1.0,1.0,1,1,0,4
5,0.166667,6,,2510,0.0,0.0,-2.0,340.0,1.0,1.0,1,1,0,
6,0.208333,1,,2500,0.0,0.0,-2.0,340.0,1.0,1.0,1,1,0,
6,0.208333,2,,2512,0.0,0.0,-2.0,340.0,1.0,1.0,1,1,0,
7,0.25,1,,2500,0.0,0.0,-2.0,340.0,1.0,1.0,1,1,0,
7,0.25,2,,2514,0.0,0.0,-2.0,340.0,1.0,1.0,1,1,0,
8,0.291667,1,,2500,0.0,0.0,-2.0,340.0,1.0,1.0,1,1,0,
8,0.291667,2,,2516,0.0,0.0,-2.0,340.0,1.0,1.0,1,1,0,
8,0.291667,3,,2524,2.0,-339.0,0.0,1.0,1.0,1.0,1,1,0,7
