frame,time_s,depth,preferred_depth,character_id,local_x,local_y,stage_x,stage_y,scale_x,scale_y,alpha,red_mult,red_add,ratio
1,0.0,1,2,2602,0.0,0.0,343.0,343.0,1.0,1.0,1,1,0,
2,0.041667,,2,,,,,,,,,,,
3,0.083333,2,2,2526,-345.0,37.0,-2.0,380.0,1.0,1.0,1,1,0,2
4,0.125,2,2,2526,-345.0,29.4,-2.0,372.4,1.0,1.0,1,1,0,2
5,0.166667,2,2,2526,-345.0,22.6,-2.0,365.6,1.0,1.0,1,1,0,2
6,0.208333,2,2,2526,-345.0,16.6,-2.0,359.6,1.0,1.0,1,1,0,2
7,0.25,2,2,2526,-345.0,11.4,-2.0,354.4,1.0,1.0,1,1,0,2
8,0.291667,2,2,2526,-345.0,7.0,-2.0,350.0,1.0,1.0,1,1,0,2
9,0.333333,2,2,2526,-345.0,3.4,-2.0,346.4,1.0,1.0,1,1,0,2
10,0.375,2,2,2526,-345.0,0.6,-2.0,343.6,1.0,1.0,1,1,0,2
11,0.416667,2,2,2526,-345.0,-1.4,-2.0,341.6,1.0,1.0,1,1,0,2
12,0.458333,2,2,2526,-345.0,-2.6,-2.0,340.4,1.0,1.0,1,1,0,2
13,0.5,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
14,0.541667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
15,0.583333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
16,0.625,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
17,0.666667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
18,0.708333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
19,0.75,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
20,0.791667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
21,0.833333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
22,0.875,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
23,0.916667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
24,0.958333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
25,1.0,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
26,1.041667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
27,1.083333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
28,1.125,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
29,1.166667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
30,1.208333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
31,1.25,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
32,1.291667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
33,1.333333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
34,1.375,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
35,1.416667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
36,1.458333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
37,1.5,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
38,1.541667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
39,1.583333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
40,1.625,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
41,1.666667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
42,1.708333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
43,1.75,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
44,1.791667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
45,1.833333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
46,1.875,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
47,1.916667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
48,1.958333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
49,2.0,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
50,2.041667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
51,2.083333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
52,2.125,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
53,2.166667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
54,2.208333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
55,2.25,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
56,2.291667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
57,2.333333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
58,2.375,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
59,2.416667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
60,2.458333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
61,2.5,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
62,2.541667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
63,2.583333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
64,2.625,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
65,2.666667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
66,2.708333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
67,2.75,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
68,2.791667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
69,2.833333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
70,2.875,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
71,2.916667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
72,2.958333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
73,3.0,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
74,3.041667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
75,3.083333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
76,3.125,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
77,3.166667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
78,3.208333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
79,3.25,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
80,3.291667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
81,3.333333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
82,3.375,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
83,3.416667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
84,3.458333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
85,3.5,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
86,3.541667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
87,3.583333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
88,3.625,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
89,3.666667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
90,3.708333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
91,3.75,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
92,3.791667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
93,3.833333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
94,3.875,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
95,3.916667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
96,3.958333,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
97,4.0,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
98,4.041667,1,2,2599,0.0,0.0,343.0,343.0,1.0,1.0,1,1,0,
98,4.041667,2,2,2526,-345.0,-3.0,-2.0,340.0,1.0,1.0,1,1,0,2
99,4.083333,1,2,2599,0.0,0.0,343.0,343.0,1.0,1.0,1,1,0,
99,4.083333,2,2,2526,-345.0,-2.5,-2.0,340.5,1.0,1.0,1,1,0,2
100,4.125,1,2,2599,0.0,0.0,343.0,343.0,1.0,1.0,1,1,0,
100,4.125,2,2,2526,-345.0,-1.0,-2.0,342.0,1.0,1.0,1,1,0,2
101,4.166667,1,2,2599,0.0,0.0,343.0,343.0,1.0,1.0,1,1,0,
101,4.166667,2,2,2526,-345.0,1.45,-2.0,344.45,1.0,1.0,1,1,0,2
102,4.208333,1,2,2599,0.0,0.0,343.0,343.0,1.0,1.0,1,1,0,
102,4.208333,2,2,2526,-345.0,4.9,-2.0,347.9,1.0,1.0,1,1,0,2
103,4.25,1,2,2599,0.0,0.0,343.0,343.0,1.0,1.0,1,1,0,
103,4.25,2,2,2526,-345.0,9.35,-2.0,352.35,1.0,1.0,1,1,0,2
104,4.291667,1,2,2599,0.0,0.0,343.0,343.0,1.0,1.0,1,1,0,
104,4.291667,2,2,2526,-345.0,14.8,-2.0,357.8,1.0,1.0,1,1,0,2
105,4.333333,1,2,2599,0.0,0.0,343.0,343.0,1.0,1.0,1,1,0,
105,4.333333,2,2,2526,-345.0,21.2,-2.0,364.2,1.0,1.0,1,1,0,2
106,4.375,1,2,2599,0.0,0.0,343.0,343.0,1.0,1.0,1,1,0,
106,4.375,2,2,2526,-345.0,28.6,-2.0,371.6,1.0,1.0,1,1,0,2
107,4.416667,1,2,2599,0.0,0.0,343.0,343.0,1.0,1.0,1,1,0,
107,4.416667,2,2,2526,-345.0,37.0,-2.0,380.0,1.0,1.0,1,1,0,106
108,4.458333,1,2,2599,0.0,0.0,343.0,343.0,1.0,1.0,1,1,0,
