frame,time_s,depth,preferred_depth,character_id,local_x,local_y,stage_x,stage_y,scale_x,scale_y,alpha,red_mult,red_add,ratio
1,0.0,,2,,,,,,,,,,,
2,0.041667,,2,,,,,,,,,,,
3,0.083333,1,2,2584,-100.0,0.0,-101.0,30.0,1.0,1.0,1.0,0.0,255,2
3,0.083333,3,2,2567,5.0,3.0,4.0,33.0,1.0,1.0,1.0,0.0,255,2
4,0.125,1,2,2584,-25.75,0.0,-26.75,30.0,1.0,1.0,1.0,0.75,64,2
4,0.125,3,2,2567,5.0,3.0,4.0,33.0,1.0,1.0,1.0,0.5,128,2
5,0.166667,1,2,2584,-1.0,0.0,-2.0,30.0,1.0,1.0,1.0,1.0,0,2
5,0.166667,3,2,2567,5.0,3.0,4.0,33.0,1.0,1.0,1.0,1.0,0,2
5,0.166667,5,2,2585,24.0,7.0,23.0,37.0,0.999695,1.0,1,1,0,4
6,0.208333,2,2,2586,0.0,0.0,-1.0,30.0,1.0,1.0,1,1,0,
6,0.208333,5,2,2585,24.0,7.0,23.0,37.0,0.999695,1.0,1,1,0,4
7,0.25,2,2,2586,0.0,0.0,-1.0,30.0,1.0,1.0,1,1,0,
7,0.25,5,2,2585,24.0,7.0,23.0,37.0,0.999695,1.0,1,1,0,4
8,0.291667,2,2,2586,0.0,0.0,-1.0,30.0,1.0,1.0,1,1,0,
8,0.291667,5,2,2585,24.0,7.0,23.0,37.0,0.999695,1.0,1,1,0,4
9,0.333333,2,2,2586,0.0,0.0,-1.0,30.0,1.0,1.0,1,1,0,
9,0.333333,5,2,2585,24.0,7.0,23.0,37.0,0.999695,1.0,1,1,0,4
10,0.375,2,2,2586,0.0,0.0,-1.0,30.0,1.0,1.0,1,1,0,
10,0.375,5,2,2585,24.0,7.0,23.0,37.0,0.999695,1.0,1,1,0,4
11,0.416667,2,2,2586,0.0,0.0,-1.0,30.0,1.0,1.0,1,1,0,
11,0.416667,5,2,2585,24.0,7.0,23.0,37.0,0.999695,1.0,1,1,0,4
12,0.458333,2,2,2586,0.0,0.0,-1.0,30.0,1.0,1.0,1,1,0,
12,0.458333,5,2,2585,24.0,7.0,23.0,37.0,0.999695,1.0,1,1,0,4
13,0.5,2,2,2586,0.0,0.0,-1.0,30.0,1.0,1.0,1,1,0,
13,0.5,5,2,2585,24.0,7.0,23.0,37.0,0.999695,1.0,1,1,0,4
14,0.541667,2,2,2586,0.0,0.0,-1.0,30.0,1.0,1.0,1,1,0,
14,0.541667,5,2,2585,24.0,7.0,23.0,37.0,0.999695,1.0,1,1,0,4
15,0.583333,2,2,2586,0.0,0.0,-1.0,30.0,1.0,1.0,1,1,0,
15,0.583333,5,2,2585,24.0,7.0,23.0,37.0,0.999695,1.0,1,1,0,4
16,0.625,2,2,2586,0.0,0.0,-1.0,30.0,1.0,1.0,1,1,0,
16,0.625,5,2,2585,24.0,7.0,23.0,37.0,0.999695,1.0,1,1,0,4
