frame,time_s,depth,preferred_depth,character_id,local_x,local_y,stage_x,stage_y,scale_x,scale_y,alpha,red_mult,red_add,ratio
1,0.0,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
1,0.0,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
2,0.041667,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
2,0.041667,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
2,0.041667,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
3,0.083333,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
3,0.083333,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,220
3,0.083333,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
4,0.125,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
4,0.125,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,440
4,0.125,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
5,0.166667,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
5,0.166667,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,660
5,0.166667,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
6,0.208333,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
6,0.208333,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,880
6,0.208333,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
7,0.25,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
7,0.25,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,1100
7,0.25,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
8,0.291667,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
8,0.291667,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,1320
8,0.291667,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
9,0.333333,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
9,0.333333,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,1539
9,0.333333,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
10,0.375,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
10,0.375,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,1759
10,0.375,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
11,0.416667,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
11,0.416667,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,1979
11,0.416667,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
12,0.458333,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
12,0.458333,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,2199
12,0.458333,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
13,0.5,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
13,0.5,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,2419
13,0.5,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
14,0.541667,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
14,0.541667,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,2639
14,0.541667,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
15,0.583333,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
15,0.583333,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,2859
15,0.583333,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
16,0.625,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
16,0.625,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,3079
16,0.625,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
17,0.666667,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
17,0.666667,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,3299
17,0.666667,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
18,0.708333,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
18,0.708333,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,3519
18,0.708333,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
19,0.75,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
19,0.75,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,3739
19,0.75,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
20,0.791667,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
20,0.791667,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,3959
20,0.791667,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
21,0.833333,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
21,0.833333,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,4178
21,0.833333,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
22,0.875,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
22,0.875,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,4398
22,0.875,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
23,0.916667,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
23,0.916667,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,4618
23,0.916667,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
24,0.958333,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
24,0.958333,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,4838
24,0.958333,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
25,1.0,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
25,1.0,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,5058
25,1.0,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
26,1.041667,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
26,1.041667,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,5278
26,1.041667,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
27,1.083333,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
27,1.083333,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,5498
27,1.083333,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
28,1.125,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
28,1.125,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,5718
28,1.125,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
29,1.166667,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
29,1.166667,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,5938
29,1.166667,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
30,1.208333,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
30,1.208333,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,6158
30,1.208333,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
31,1.25,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
31,1.25,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,6378
31,1.25,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
32,1.291667,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
32,1.291667,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,6598
32,1.291667,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
33,1.333333,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
33,1.333333,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,6818
33,1.333333,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
34,1.375,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
34,1.375,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,7037
34,1.375,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
35,1.416667,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
35,1.416667,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,7257
35,1.416667,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
36,1.458333,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
36,1.458333,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,7477
36,1.458333,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
37,1.5,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
37,1.5,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,7697
37,1.5,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
38,1.541667,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
38,1.541667,3,,2606,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,7917
38,1.541667,5,,2605,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
39,1.583333,2,,2604,0.0,0.0,2.0,20.0,1.0,1.0,1,1,0,
