stage_name,map_key,level,formation_id,technique_code,technique_name,fixed_famous_count,expected_total_count_including_generic,randomly_generated_slots
姉小路頼綱軍,x15y3,2,99,1,槍撃,0,7.96,29
姉小路頼綱軍,x15y3,2,99,2,弓矢,0,5.418,29
姉小路頼綱軍,x15y3,2,99,3,遠射,0,1.4,29
姉小路頼綱軍,x15y3,2,99,4,射撃,0,1.592,29
姉小路頼綱軍,x15y3,2,99,5,狙撃,0,0.4,29
姉小路頼綱軍,x15y3,2,99,6,火遊,0,2.8235117357142854,29
姉小路頼綱軍,x15y3,2,99,7,火攻,0,2.8235117357142854,29
姉小路頼綱軍,x15y3,2,99,8,火計,0,0.1154657357142857,29
姉小路頼綱軍,x15y3,2,99,9,業火,0,0.013465735714285713,29
姉小路頼綱軍,x15y3,2,99,10,炎術,0,7.714285714285713e-05,29
姉小路頼綱軍,x15y3,2,99,11,旋風,0,1.494,29
姉小路頼綱軍,x15y3,2,99,12,忍術,0,1.705374,29
姉小路頼綱軍,x15y3,2,99,13,影走,0,0.254826,29
姉小路頼綱軍,x15y3,2,99,14,号令,0,1.987788888888889,29
姉小路頼綱軍,x15y3,2,99,15,火矢,0,0.12739999999999999,29
姉小路頼綱軍,x15y3,2,99,16,焙烙,0,0.0546,29
姉小路頼綱軍,x15y3,2,99,17,砲撃,0,0.008,29
姉小路頼綱軍,x15y3,2,99,18,妖術,0,0.0564,29
姉小路頼綱軍,x15y3,2,99,19,虚報,1,1.1675079999999993,29
姉小路頼綱軍,x15y3,2,99,20,幻術,0,0.0198,29
姉小路頼綱軍,x15y3,2,99,21,槍術,0,0.04,29
姉小路頼綱軍,x15y3,2,99,22,豪傑,0,0.00998888888888889,29
姉小路頼綱軍,x15y3,2,99,23,無双,0,0.498,29
姉小路頼綱軍,x15y3,2,99,24,治癒,0,0.002282136507936509,29
姉小路頼綱軍,x15y3,2,99,25,鬼神,0,0.008,29
姉小路頼綱軍,x15y3,2,99,27,結界,0,0.02,29
筒井順慶軍,x4y10,2,100,1,槍撃,0,1.99,28
筒井順慶軍,x4y10,2,100,2,弓矢,0,8.514,28
筒井順慶軍,x4y10,2,100,3,遠射,0,2.1999999999999997,28
筒井順慶軍,x4y10,2,100,6,火遊,0,1.8823411571428568,28
筒井順慶軍,x4y10,2,100,7,火攻,0,1.8823411571428568,28
筒井順慶軍,x4y10,2,100,8,火計,0,0.07697715714285713,28
筒井順慶軍,x4y10,2,100,9,業火,0,0.008977157142857142,28
筒井順慶軍,x4y10,2,100,10,炎術,0,5.142857142857142e-05,28
筒井順慶軍,x4y10,2,100,11,旋風,0,3.735,28
筒井順慶軍,x4y10,2,100,14,号令,1,6.963366666666667,28
筒井順慶軍,x4y10,2,100,15,火矢,0,0.20019999999999996,28
筒井順慶軍,x4y10,2,100,16,焙烙,0,0.0858,28
筒井順慶軍,x4y10,2,100,18,妖術,0,0.0376,28
